id	Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13	P.value	Correlation	RMSE
TCGA-28-2513	0	0.117298595361494	0.395959739633143	0.230570996540003	0.153425131932197	0	0.0269739665620107	0	0	0	0.055143278001526	0.0206282919696253	0.2	0.104496712440673	1.18555674894745
TCGA-28-2514	0	0.0943958265957488	0	0	0.677514875607051	0	0	0.0490033456038256	0.129453771442828	0.049632180750546	0	0	0.71	-0.0331630868769791	1.1814133361883
TCGA-28-5204	0	0.0393539566413345	0.0953984549156938	0.50466717404355	0.164643059791618	0	0	0.0524637787708156	0.061575116099413	0.0818984597375748	0	0	0.52	-0.000697701019297302	1.15663574193798
TCGA-28-5207	0	0.159798151586955	0	0.13727100287995	0.585631951324968	0	0	0.0416985692243242	0.0756003249838027	0	0	0	0.68	-0.0278237356404813	1.23763267687818
TCGA-28-5208	0	0.0615949543760691	0.056715367534307	0.494989296766326	0.0753156696631752	0	0	0	0.0427190589686975	0.268665652691425	0	0	0.72	-0.0351682141581997	1.17764640680805
TCGA-28-5209	0	0.126455328533623	0.0871439091807935	0.563923456715613	0.0544160502390254	0	0	0	0.0968025969496243	0.0712586583813212	0	0	0.69	-0.0309237047551689	1.21553012436885
TCGA-28-5213	0.229256070958922	0.0955890619918667	0	0.374071792636482	0	0	0	0	0	0.240461817494842	0	0.0606212569178874	0.09	0.240646793682543	1.14703145598409
TCGA-28-5215	0	0.10001579939489	0	0.261114422610698	0.328751549103056	0.10266537828799	0.0420595530893682	0	0.0708240294326789	0	0.0945692680813189	0	0.69	-0.0296743964262994	1.18913856455326
TCGA-28-5216	0	0.0490295904531459	0	0.688200786904511	0	0.0679456879924015	0	0	0.0427218725621717	0	0.15210206208777	0	0.67	-0.0240747503226441	1.17599086334815
TCGA-28-5218	0.0230411174869872	0.074331369876678	0.0102886973026533	0.00369988287878627	0.289042558434408	0	0	0	0.51910762408667	0.0804887499338176	0	0	0.14	0.175075771821915	1.0192261297242
TCGA-28-5220	0	0.209420946967821	0	0.295354063686358	0.342796844614234	0	0	0.0555038509253425	0.0392209351701002	0	0.0343432988710352	0.0233600597651081	0.45	0.0173273800584308	1.24112272243193
TCGA-32-1970	0	0.143234324362794	0	0	0.729053395302482	0	0	0.0604017469736465	0.0673105333610772	0	0	0	0.66	-0.0231350915275907	1.22575724945148
TCGA-32-1980	0	0.0744232090270747	0	0	0.814047551982054	0	0	0.0444736360273041	0.0585104657554922	0.00854513720807505	0	0	0.52	0.000585833081827636	1.17967063862311
TCGA-32-1982	0	0.137454820254362	0	0	0.603590514642384	0	0	0.0274152474607465	0.110661666907629	0	0.120877750734879	0	0.56	-0.00592789856420026	1.19560789553748
TCGA-32-2615	0	0.1210511476005	0	0	0.753753640593342	0	0	0	0.125195211806158	0	0	0	0.48	0.00851735086383297	1.18621927475579
