GeneSymbol	Macs_IFN_B1a Macs_IFN_y	Macs_IL_10	Macs_IL_4 Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a Monos_IFN_y	Monos_IL_10	Monos_IL_4 Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a PMNs_IFN_y	PMNs_IL_4 PMNs_IL_13	Condition
NFXL1	1.833333333	2	5.166666667	26.66666667	30.33333333	25	2.166666667	1.333333333	3.666666667	1	4.666666667	52.5	PMNs_IL_4_PMNs_IL_13
OXER1	0.5	0.333333333	0.5	1	1.166666667	2.666666667	0.166666667	1	0.166666667	2	2.833333333	29.16666667	PMNs_IL_4_PMNs_IL_13
RNF24	70.83333333	92	86.5	33.66666667	66.66666667	70.66666667	57	36.33333333	33.33333333	63	74.5	149.3333333	PMNs_IL_4_PMNs_IL_13
SH2D1B	0.333333333	0	0.166666667	1	0.666666667	0.333333333	0.5	1.666666667	2.166666667	0.666666667	1	70.16666667	PMNs_IL_4_PMNs_IL_13
SLA	85.66666667	237.6666667	338.8333333	77	109.5	280.3333333	18	34.33333333	104.1666667	71	105	563.3333333	PMNs_IL_4_PMNs_IL_13
SUCNR1	1.333333333	1	1.166666667	3	9.833333333	5	1.333333333	0	1	7	12.83333333	44	PMNs_IL_4_PMNs_IL_13
SYN2	1.166666667	1.333333333	3.166666667	0	0	0	2.333333333	1.666666667	6.333333333	1.666666667	2.5	22.66666667	PMNs_IL_4_PMNs_IL_13
WDR25	5	5	4.5	2.333333333	4.833333333	4.333333333	2.833333333	4	1.5	2.666666667	4.166666667	14.33333333	PMNs_IL_4_PMNs_IL_13
CASP10	15.33333333	10.33333333	6.5	26.33333333	24.16666667	13	10.33333333	1.666666667	2.333333333	18	14.83333333	31.5	PMNs_IL_4_PMNs_IL_13
CLEC4A	120.1666667	186.6666667	365.6666667	205	290	343.3333333	35.5	27.33333333	72.5	45.33333333	57	567	PMNs_IL_4_PMNs_IL_13
MAP2K6	1.833333333	0	4.166666667	7.666666667	5	2.666666667	1.666666667	1.666666667	2.5	4.666666667	2.666666667	16	PMNs_IL_4_PMNs_IL_13
RHOH	20.33333333	47	14	2.333333333	2.333333333	3.333333333	24.33333333	80.66666667	16.33333333	79.33333333	90.66666667	187.6666667	PMNs_IL_4_PMNs_IL_13
RIPK2	65.83333333	36.33333333	55.66666667	46.33333333	57.83333333	25.66666667	194.1666667	35	187.6666667	101.6666667	126.3333333	270.8333333	PMNs_IL_4_PMNs_IL_13
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
